Latitude,Longitude,Depth_km,Magnitude,Cluster
60.6203,-140.0919,5.0,2.9,1
63.092,-150.925,125.0,2.5,1
26.8602,55.0341,10.0,4.2,2
18.072333333333,-66.156166666667,67.14,2.75,1
26.0146,126.0921,89.971,4.9,2
39.3391,114.4477,10.0,4.6,2
52.9701,159.9484,62.549,4.3,2
62.972,-151.031,119.2,3.0,1
60.447,-153.102,141.3,3.0,1
-5.7036,145.5368,107.0,6.5,3
32.141,-101.081,8.9355,2.6,1
1.453,126.4287,52.071,4.3,3
32.143,-101.069,8.5693,3.4,1
40.4235,-125.24283333333,9.86,2.86,1
60.6002,-139.7819,3.96,2.6,1
32.141,-101.075,8.8623,2.8,1
60.665,-152.789,129.9,2.6,1
17.967,-68.424166666667,71.91,3.42,1
18.158,-68.9454,10.0,3.1,1
-23.5648,-69.2329,96.015,4.3,3
-23.4771,178.859,561.941,4.3,0
14.3484,-93.1752,35.0,4.6,3
14.3738,-93.1789,35.0,5.3,3
-20.8101,68.502,10.0,4.3,3
8.448,127.6638,10.0,4.6,3
-55.2488,-27.4874,10.0,4.6,3
40.476333618164,-124.250831604,5.0500001907349,2.89,1
-55.4329,-27.5119,10.0,4.4,3
39.7525,141.8182,67.302,4.4,2
-5.646,151.7832,35.0,4.5,3
-5.5178,151.7579,48.587,5.3,3
36.783332824707,-121.40850067139,6.8800001144409,2.63,1
17.6585,146.1456,153.099,4.7,2
36.156665802002,-119.92566680908,14.729999542236,2.56,1
-55.3529,-27.4001,15.923,4.8,3
32.143,-101.075,8.7158,2.6,1
-53.5331,24.905,10.0,4.5,3
13.3812,146.3363,10.0,4.5,2
60.5498,-139.6848,5.0,4.1,1
41.3004,78.8233,10.0,4.2,2
60.5628,-139.9743,5.0,2.9,1
36.790333333333,-121.408,7.05,3.29,1
43.8206,-105.3415,0.0,3.2,1
41.143,143.0842,41.623,4.3,2
8.3759,127.6817,9.0,5.6,3
12.1739,-87.9686,38.535,4.4,3
-10.385,160.8038,13.993,4.9,3
-7.1723,129.3087,151.324,4.3,3
44.3648,-114.9764,5.391,3.2,1
44.5259,149.1564,53.422,4.3,2
12.0948,-88.0283,35.0,4.2,3
30.0004,138.8563,408.142,4.1,0
-5.63,151.8978,53.45,4.9,3
60.455,-139.6312,5.0,2.7,1
3.0699,-75.1055,10.0,4.4,3
19.3618,-67.7553,53.0,3.48,1
-61.9909,161.4223,10.0,5.0,3
31.653,-104.392,6.0999,2.9,1
-21.085,-68.6888,129.227,4.2,3
1.4457,126.392,44.0,5.5,3
59.324,-153.133,84.6,2.7,1
60.5519,-139.9671,5.0,2.5,1
14.3872,146.9368,10.0,4.5,2
23.7593,122.4732,10.0,4.4,2
43.8649,-127.6328,10.0,4.7,2
-28.9279,-176.8872,10.0,4.5,3
30.0685,138.7379,415.354,4.3,0
-8.3905,-75.191,128.482,4.1,3
60.6275,-139.9995,5.0,2.9,1
-30.8379,-65.4287,189.332,4.8,3
34.7697,141.8354,10.0,5.1,2
27.4102,129.0743,38.417,4.2,2
49.8811,155.8327,93.441,4.0,2
60.383,-152.372,102.2,2.5,1
